goos: darwin
goarch: arm64
pkg: github.com/ajroetker/go-highway/hwy/contrib/matmul
cpu: Apple M4 Max
BenchmarkMatMulBFloat16/128-14       	  176637	     20696 ns/op	       202.7 GFLOPS
BenchmarkMatMulBFloat16/128-14       	  161971	     22170 ns/op	       189.2 GFLOPS
BenchmarkMatMulBFloat16/128-14       	  158145	     22157 ns/op	       189.3 GFLOPS
BenchmarkMatMulBFloat16/128-14       	  164127	     20483 ns/op	       204.8 GFLOPS
BenchmarkMatMulBFloat16/128-14       	  179012	     20335 ns/op	       206.3 GFLOPS
BenchmarkMatMulBFloat16/128-14       	  177600	     20272 ns/op	       206.9 GFLOPS
BenchmarkMatMulBFloat16/256-14       	   37312	     96725 ns/op	       346.9 GFLOPS
BenchmarkMatMulBFloat16/256-14       	   38511	     95774 ns/op	       350.3 GFLOPS
BenchmarkMatMulBFloat16/256-14       	   37244	     97630 ns/op	       343.7 GFLOPS
BenchmarkMatMulBFloat16/256-14       	   37183	     97002 ns/op	       345.9 GFLOPS
BenchmarkMatMulBFloat16/256-14       	   36984	     96607 ns/op	       347.3 GFLOPS
BenchmarkMatMulBFloat16/256-14       	   37384	     96947 ns/op	       346.1 GFLOPS
BenchmarkMatMulBFloat16/512-14       	    9403	    382005 ns/op	       702.7 GFLOPS
BenchmarkMatMulBFloat16/512-14       	    9402	    379902 ns/op	       706.6 GFLOPS
BenchmarkMatMulBFloat16/512-14       	    9638	    376899 ns/op	       712.2 GFLOPS
BenchmarkMatMulBFloat16/512-14       	    9392	    379328 ns/op	       707.7 GFLOPS
BenchmarkMatMulBFloat16/512-14       	    9151	    379968 ns/op	       706.5 GFLOPS
BenchmarkMatMulBFloat16/512-14       	    9540	    376916 ns/op	       712.2 GFLOPS
BenchmarkMatMulNEON/032-14           	 3339297	      1079 ns/op	11388.28 MB/s	        60.74 GFLOPS
BenchmarkMatMulNEON/032-14           	 3351483	      1079 ns/op	11390.82 MB/s	        60.75 GFLOPS
BenchmarkMatMulNEON/032-14           	 3346980	      1084 ns/op	11336.92 MB/s	        60.46 GFLOPS
BenchmarkMatMulNEON/032-14           	 3345838	      1077 ns/op	11407.57 MB/s	        60.84 GFLOPS
BenchmarkMatMulNEON/032-14           	 3323102	      1081 ns/op	11372.29 MB/s	        60.65 GFLOPS
BenchmarkMatMulNEON/032-14           	 3348657	      1079 ns/op	11387.48 MB/s	        60.73 GFLOPS
BenchmarkMatMulDispatch/064-14       	 1976350	      1813 ns/op	27105.86 MB/s	       289.1 GFLOPS
BenchmarkMatMulDispatch/064-14       	 1968849	      1819 ns/op	27016.85 MB/s	       288.2 GFLOPS
BenchmarkMatMulDispatch/064-14       	 1985294	      1821 ns/op	26988.11 MB/s	       287.9 GFLOPS
BenchmarkMatMulDispatch/064-14       	 1998915	      1804 ns/op	27241.53 MB/s	       290.6 GFLOPS
BenchmarkMatMulDispatch/064-14       	 1989247	      1846 ns/op	26632.66 MB/s	       284.1 GFLOPS
BenchmarkMatMulDispatch/064-14       	 1777339	      2033 ns/op	24178.89 MB/s	       257.9 GFLOPS
BenchmarkMatMulDispatch/128-14       	  332101	     10479 ns/op	18761.77 MB/s	       400.3 GFLOPS
BenchmarkMatMulDispatch/128-14       	  358524	     10027 ns/op	19607.64 MB/s	       418.3 GFLOPS
BenchmarkMatMulDispatch/128-14       	  359078	     10017 ns/op	19626.57 MB/s	       418.7 GFLOPS
BenchmarkMatMulDispatch/128-14       	  359644	     10031 ns/op	19600.90 MB/s	       418.2 GFLOPS
